"Tunezja";"Djerba";"Krakow"
"Grecja";"Rodos";"Poznan"
"Turcja";"Alanya";"Warszawa"
"Egipt";"Hurgada";"Wroclaw"
"Tunezja";"Djerba";"Katowice"
"Grecja";"Kos";"Gdansk"
"Turcja";"Belek";"Warszawa"
"Hiszpania";"Teneryfa";"Katowice"
"Grecja";"Kreta";"Lodz"
"Bulgaria";"Sloneczny Brzeg";"Katowice"
"Maroko";"Casablanca";"Katowice"
"Grecja";"Kos";"Warszawa"
"Maroko";"Casablanca";"Wroclaw"
"Bulgaria";"Sveti Vlas";"Gdansk"
"Turcja";"Kemer";"Katowice"
"Grecja";"Kreta";"Krakow"
"Turcja";"Belek";"Gdansk"
"Maroko";"Agadir";"Poznan"
"Egipt";"Hurgada";"Warszawa"
"Egipt";"Marsa Alam";"Katowice"
"Turcja";"Belek";"Krakow"
"Grecja";"Rodos";"Warszawa"
"Turcja";"Antalya";"Warszawa"
"Bulgaria";"Sveti Vlas";"Lodz"
"Egipt";"Sharm El Sheikh";"Poznan"
"Hiszpania";"Majorka";"Lodz"
"Maroko";"Casablanca";"Warszawa"
"Maroko";"Agadir";"Krakow"
"Turcja";"Alanya";"Lodz"
"Bulgaria";"Sveti Vlas";"Lodz"
"Tunezja";"Djerba";"Warszawa"
"Tunezja";"Nabeul";"Wroclaw"
"Tunezja";"Mahdia";"Katowice"
"Tunezja";"Hammamet";"Gdansk"
"Hiszpania";"Majorka";"Wroclaw"
"Egipt";"Sharm El Sheikh";"Katowice"
"Hiszpania";"Fuerteventura";"Warszawa"
"Egipt";"Hurgada";"Wroclaw"
"Maroko";"Agadir";"Gdansk"
"Tunezja";"Monastir";"Lodz"
"Hiszpania";"Gran Canaria";"Lodz"
"Tunezja";"Djerba";"Warszawa"
"Egipt";"Marsa Alam";"Gdansk"
"Hiszpania";"Teneryfa";"Wroclaw"
"Turcja";"Kemer";"Warszawa"
"Tunezja";"Monastir";"Gdansk"
"Egipt";"Hurgada";"Katowice"
"Grecja";"Kos";"Wroclaw"
"Hiszpania";"Fuerteventura";"Wroclaw"
"Tunezja";"Nabeul";"Gdansk"
"Hiszpania";"Gran Canaria";"Katowice"
"Bulgaria";"Sloneczny Brzeg";"Wroclaw"
"Bulgaria";"Sloneczny Brzeg";"Gdansk"
"Hiszpania";"Majorka";"Gdansk"
"Turcja";"Side";"Krakow"
"Maroko";"Casablanca";"Wroclaw"
"Egipt";"Marsa Alam";"Katowice"
"Maroko";"Agadir";"Katowice"
"Bulgaria";"Sveti Vlas";"Katowice"
"Bulgaria";"Sloneczny Brzeg";"Krakow"
"Grecja";"Kreta";"Lodz"
"Bulgaria";"Sloneczny Brzeg";"Gdansk"
"Hiszpania";"Fuerteventura";"Poznan"
"Bulgaria";"Sloneczny Brzeg";"Krakow"
"Grecja";"Kreta";"Krakow"
"Egipt";"Marsa Alam";"Katowice"
"Tunezja";"Sousse";"Poznan"
"Hiszpania";"Majorka";"Katowice"
"Turcja";"Side";"Warszawa"
"Maroko";"Agadir";"Poznan"
"Grecja";"Kreta";"Gdansk"
"Maroko";"Casablanca";"Warszawa"
"Maroko";"Casablanca";"Wroclaw"
"Egipt";"Hurgada";"Poznan"
"Bulgaria";"Sloneczny Brzeg";"Krakow"
"Tunezja";"Mahdia";"Lodz"
"Hiszpania";"Gran Canaria";"Gdansk"
"Maroko";"Casablanca";"Warszawa"
"Turcja";"Alanya";"Gdansk"
"Maroko";"Agadir";"Wroclaw"
"Hiszpania";"Teneryfa";"Katowice"
"Grecja";"Kreta";"Katowice"
"Egipt";"Hurgada";"Gdansk"
"Egipt";"Sharm El Sheikh";"Katowice"
"Hiszpania";"Gran Canaria";"Warszawa"
"Bulgaria";"Sveti Vlas";"Katowice"
"Maroko";"Casablanca";"Poznan"
"Bulgaria";"Sveti Vlas";"Wroclaw"
"Tunezja";"Mahdia";"Katowice"
